,season,g,mp,fg,fga,fg3,fg3a,ft,fta,orb,trb,ast,stl,blk,tov,pf,pts,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g,f_PTS
Seth Curry,2008-2012,35.25,770.0,170.5,395.5,81.25,206.25,103.0,124.5,15.0,99.5,72.5,43.25,6.75,56.25,49.0,525.25,0.43,0.4,0.83,21.88,14.98,2.82,2.05,906
Stephen Curry,2006-2008,34.67,1129.0,290.33,622.0,138.0,334.67,159.67,182.33,27.0,157.67,129.33,73.67,9.33,104.67,84.33,878.33,0.47,0.41,0.88,32.57,25.33,4.53,3.77,"1,630"
Ed Davis,2008-2009,30.5,320.5,105.0,191.5,0.0,0.0,71.0,114.0,33.0,235.0,22.0,12.0,64.5,43.0,21.0,281.0,0.55,0.0,0.62,13.95,10.05,8.1,0.8,28
Dewayne Dedmon,2011-2012,25.5,578.0,76.5,147.0,0.0,2.0,27.0,44.0,59.5,162.5,12.5,24.0,42.5,39.0,78.5,180.0,0.53,0.0,0.61,22.8,7.15,6.25,0.45,396
Mamadi Diakite,2016-2019,33.5,698.75,99.0,189.0,7.0,20.75,44.25,61.5,40.75,138.5,10.25,15.75,39.0,34.25,72.25,249.25,0.54,0.23,0.69,21.05,7.58,4.2,0.3,56
Gorgui Dieng,2010-2012,34.0,929.67,112.67,206.67,0.33,1.0,58.0,90.67,101.33,267.0,42.33,34.67,89.0,55.33,93.33,283.67,0.56,0.17,0.62,26.5,8.2,7.63,1.27,151
Spencer Dinwiddie,2011-2013,28.67,863.33,96.67,230.0,38.33,99.33,140.0,168.67,14.0,96.0,75.67,32.33,9.67,51.0,60.33,371.67,0.43,0.4,0.83,30.33,13.33,3.3,2.87,852
Donte DiVincenzo,2015-2017,28.33,721.0,101.0,215.33,43.33,114.67,44.67,63.33,31.0,114.33,68.0,26.33,6.0,45.67,50.33,290.0,0.41,0.31,0.47,21.0,7.97,3.47,1.87,306
Damyean Dotson,2012-2016,33.5,976.5,161.25,347.5,60.75,159.75,49.75,62.5,41.5,168.75,37.25,25.25,5.25,38.5,53.5,433.0,0.46,0.36,0.8,29.25,13.02,5.1,1.12,4
Devon Dotson,2018-2019,33.0,1107.5,164.5,347.0,35.5,107.0,128.5,159.0,19.5,127.0,123.5,56.0,4.0,77.0,72.5,493.0,0.48,0.34,0.81,33.65,15.2,3.9,3.75,29
PJ Dozier,2015-2016,35.0,840.0,141.0,354.0,26.0,94.0,57.0,98.5,33.0,137.0,85.5,47.0,11.5,84.0,91.5,365.0,0.39,0.26,0.57,23.85,10.3,3.9,2.45,97
Kris Dunn,2012-2015,23.75,749.25,106.0,235.75,18.25,51.5,73.25,105.75,26.5,121.5,138.0,52.0,9.5,78.75,70.0,303.5,0.41,0.25,0.77,30.18,10.38,4.53,5.48,74
CJ Elleby,2018-2019,32.0,1030.0,182.5,441.5,63.5,173.0,101.5,135.5,45.0,239.0,78.0,44.5,22.0,82.5,88.0,530.0,0.42,0.38,0.74,32.2,16.55,7.45,2.45,283
Wayne Ellington,2006-2008,38.33,0.0,205.33,443.67,76.33,192.33,77.67,96.0,0.0,156.33,86.0,36.33,4.67,42.67,0.0,564.67,0.46,0.4,0.81,0.0,14.7,4.1,2.27,253
Drew Eubanks,2015-2017,32.0,905.0,149.0,249.0,0.0,0.0,77.67,112.0,61.67,210.0,29.0,16.33,54.33,64.67,90.0,375.67,0.6,0.0,0.68,28.27,11.77,6.57,0.9,447
Tacko Fall,2015-2018,28.75,662.25,124.25,168.0,0.0,0.25,41.5,96.0,76.75,221.75,12.5,6.25,70.0,60.0,74.75,290.0,0.74,0.0,0.46,22.68,10.18,7.57,0.42,12
Bruno Fernando,2017-2018,32.0,846.0,145.5,244.5,2.0,6.5,92.0,120.5,72.5,279.0,44.5,16.5,50.5,74.0,89.5,385.0,0.59,0.32,0.76,26.2,11.95,8.55,1.35,59
Dorian Finney-Smith,2011-2015,33.5,958.5,120.0,292.0,46.25,127.75,71.0,108.0,86.75,238.25,64.0,26.25,23.0,60.0,80.25,357.25,0.4,0.36,0.64,28.6,10.7,7.05,1.92,781
Malik Fitts,2016-2019,31.67,955.67,149.0,325.0,49.67,126.67,79.0,106.0,40.0,207.33,35.0,34.67,9.67,51.67,84.67,426.67,0.45,0.38,0.7,29.77,13.03,6.43,1.07,9
Malachi Flynn,2016-2019,31.33,1044.0,150.0,357.33,70.33,194.0,81.33,97.67,16.67,113.33,128.33,42.0,2.0,62.67,57.0,451.67,0.42,0.37,0.81,33.3,14.37,3.6,4.1,173
Bryn Forbes,2012-2015,34.5,1002.5,141.25,314.5,81.0,186.25,72.0,87.75,16.75,84.75,45.5,21.75,2.0,41.0,54.75,435.5,0.45,0.43,0.82,29.25,12.8,2.52,1.35,634
Trent Forrest,2016-2019,34.25,868.5,97.5,211.0,6.75,27.25,84.0,112.25,34.5,140.5,113.75,56.0,11.0,65.0,51.25,285.75,0.47,0.21,0.74,25.45,8.43,4.12,3.35,189
Tim Frazier,2009-2013,27.0,826.4,101.6,242.8,14.8,47.8,90.6,117.0,23.0,104.4,128.2,39.2,4.0,71.0,68.4,308.6,0.4,0.3,0.77,30.8,12.26,3.96,4.58,39
Wenyen Gabriel,2016-2017,37.5,763.0,73.5,172.5,31.0,84.5,34.5,55.5,63.0,191.0,23.5,20.5,37.0,35.0,102.0,212.5,0.42,0.36,0.62,20.4,5.7,5.1,0.65,82
Daniel Gafford,2017-2018,33.5,854.5,189.0,297.5,0.0,0.0,99.5,177.0,84.0,247.0,23.5,24.5,70.5,56.5,101.0,477.5,0.63,0.0,0.56,25.65,14.35,7.45,0.7,585
Langston Galloway,2010-2013,33.25,1180.0,164.25,375.25,85.75,201.5,83.5,101.75,32.5,149.25,74.0,42.75,16.5,39.0,81.75,497.75,0.44,0.42,0.82,35.48,14.95,4.47,2.25,14
Rudy Gay,2004-2005,32.0,954.0,159.5,346.0,28.0,74.0,88.0,122.0,0.0,189.0,58.0,41.5,55.5,0.0,0.0,435.0,0.46,0.39,0.72,29.8,13.5,5.9,1.8,413
Paul George,2008-2009,31.5,481.0,160.0,358.0,61.0,154.0,106.0,132.0,27.5,211.0,75.5,61.5,29.0,86.5,42.0,487.0,0.45,0.4,0.8,16.6,15.55,6.7,2.45,641
Taj Gibson,2006-2008,35.0,0.0,167.33,288.67,0.0,0.0,101.0,160.67,0.0,298.67,47.33,25.67,84.33,51.0,0.0,435.67,0.58,0.0,0.63,0.0,12.43,8.5,1.37,200
Anthony Gill,2014-2015,35.5,948.0,165.5,285.0,1.0,1.5,120.0,168.5,91.0,223.5,28.5,26.5,18.5,40.5,79.5,452.0,0.58,0.5,0.71,26.65,12.7,6.3,0.85,135
Freddie Gillespie,2018-2019,28.0,664.0,85.5,147.0,0.0,0.0,41.0,63.5,89.5,192.5,11.5,25.5,47.0,26.0,77.5,212.0,0.6,0.0,0.61,23.35,7.45,6.7,0.4,21
Brandon Goodwin,2013-2014,29.0,712.5,66.5,155.0,10.5,41.5,51.5,85.5,25.0,85.0,88.0,25.0,2.5,59.0,44.0,195.0,0.42,0.24,0.6,24.25,6.6,2.9,3.0,154
Devonte' Graham,2014-2017,35.5,1124.5,136.5,323.75,74.0,180.75,90.5,115.0,15.5,109.75,158.0,49.25,3.5,67.5,59.25,437.5,0.42,0.42,0.77,30.88,11.92,2.98,4.28,864
Jerami Grant,2012-2013,36.0,788.5,93.5,192.5,3.0,10.0,80.5,125.5,62.0,167.5,31.0,21.5,18.0,31.5,64.5,270.5,0.48,0.2,0.62,22.85,8.0,4.9,0.95,904
Danny Green,2005-2008,36.25,0.0,122.75,269.75,46.0,122.75,50.5,59.75,0.0,147.5,64.0,40.0,38.5,34.25,0.0,342.0,0.45,0.36,0.84,0.0,9.32,4.03,1.72,312
Draymond Green,2008-2011,36.25,799.25,135.75,290.75,22.75,63.0,85.0,123.75,61.0,274.0,106.25,45.0,29.0,69.25,82.5,379.25,0.49,0.22,0.67,22.2,10.5,7.55,2.92,293
JaMychal Green,2008-2011,30.75,636.25,153.5,296.0,0.75,4.25,106.25,149.5,63.75,228.0,38.0,31.25,53.0,78.0,72.5,414.0,0.52,0.3,0.71,21.02,13.48,7.43,1.27,401
Javonte Green,2013-2014,34.5,894.0,198.5,363.5,6.5,22.0,155.5,225.0,89.0,296.0,40.0,66.5,25.0,62.5,91.0,559.0,0.55,0.23,0.69,25.9,16.15,8.55,1.2,421
Jeff Green,2004-2006,34.0,1129.33,161.67,331.33,29.67,82.67,93.33,133.33,0.0,221.33,106.0,30.67,42.33,0.0,0.0,446.33,0.49,0.36,0.7,33.2,13.1,6.5,3.13,736
