,season,g,mp,fg,fga,fg3,fg3a,ft,fta,orb,trb,ast,stl,blk,tov,pf,pts,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g,f_PTS
Paul Reed,2017-2019,31.0,720.33,133.67,249.67,11.33,34.33,49.0,66.33,73.33,233.67,30.33,36.33,47.33,48.33,75.67,327.67,0.53,0.31,0.7,22.83,10.33,7.43,0.97,76
Nick Richards,2017-2019,35.0,636.0,93.67,149.33,0.0,0.0,69.67,95.67,64.33,175.67,7.67,3.33,48.67,33.67,83.33,257.0,0.62,0.0,0.72,18.8,7.7,5.17,0.2,144
Josh Richardson,2011-2014,34.0,960.5,114.5,251.25,24.5,77.0,59.5,78.5,29.0,109.75,61.5,36.75,22.0,52.25,75.25,313.0,0.44,0.29,0.73,28.35,9.28,3.28,1.83,580
Grant Riller,2016-2019,33.0,1066.25,220.0,423.75,46.75,131.5,131.75,165.5,15.25,108.75,91.5,41.25,8.25,71.75,63.75,618.5,0.52,0.35,0.79,32.4,18.88,3.35,2.8,0
Duncan Robinson,2015-2017,38.33,954.33,119.0,261.67,79.0,188.33,40.33,46.67,17.33,97.33,47.33,21.67,11.0,26.67,83.33,357.33,0.46,0.42,0.85,24.93,9.37,2.53,1.27,812
Justin Robinson,2015-2018,31.25,894.75,105.5,237.25,37.75,98.0,97.0,125.5,16.25,83.0,140.5,31.25,3.5,71.75,65.0,345.75,0.44,0.38,0.77,28.78,11.3,2.7,4.55,78
Isaiah Roby,2016-2018,32.33,773.0,93.33,196.0,16.33,48.67,59.0,84.0,51.67,176.67,47.67,26.67,51.33,51.33,91.0,262.0,0.47,0.31,0.72,23.47,7.87,5.37,1.43,347
Rajon Rondo,2004-2005,34.0,954.0,124.5,252.5,14.0,49.5,64.0,111.0,0.0,153.0,142.5,78.0,6.5,0.0,0.0,327.0,0.5,0.29,0.58,28.05,9.65,4.5,4.2,171
Terrence Ross,2010-2011,34.5,840.5,158.5,350.0,58.0,159.5,48.5,63.5,38.5,160.5,41.0,31.5,22.5,47.0,84.0,423.5,0.45,0.36,0.76,24.25,12.2,4.6,1.2,616
Terry Rozier,2013-2014,36.5,979.5,153.5,376.5,42.0,127.0,88.0,114.0,35.5,157.0,87.5,55.0,4.0,50.5,58.0,437.0,0.41,0.34,0.75,26.95,12.05,4.35,2.4,"1,305"
Domantas Sabonis,2014-2015,37.0,985.5,192.0,304.0,2.5,7.0,114.5,157.0,96.0,347.0,48.5,19.5,21.5,75.5,109.5,501.0,0.64,0.18,0.72,26.75,13.65,9.45,1.35,"1,171"
Landry Shamet,2015-2017,23.67,676.33,98.67,205.67,53.0,121.33,54.33,67.0,13.0,71.0,96.0,18.0,4.67,36.0,48.67,304.67,0.47,0.39,0.79,25.37,11.67,2.9,3.4,504
Pascal Siakam,2014-2015,34.0,1112.0,220.5,400.0,1.5,8.5,120.5,169.5,121.5,328.5,51.5,31.0,68.0,65.5,90.0,563.0,0.56,0.1,0.72,32.7,16.55,9.65,1.5,"1,397"
Chris Silva,2015-2018,33.5,726.0,113.0,227.5,7.0,14.75,144.25,197.75,83.25,219.0,22.25,21.25,46.5,65.75,117.5,377.25,0.5,0.23,0.71,21.68,11.27,6.55,0.68,26
Marcus Smart,2012-2013,32.0,1060.0,157.0,380.0,43.5,147.5,174.5,232.5,47.0,187.5,143.5,94.0,20.0,96.5,91.5,532.0,0.41,0.29,0.75,33.1,16.7,5.85,4.5,790
Ish Smith,2006-2009,30.25,285.0,114.5,269.5,16.5,54.75,33.0,68.25,7.25,112.0,153.0,38.25,5.75,59.5,13.75,278.5,0.43,0.29,0.51,9.2,9.17,3.7,5.03,332
Jalen Smith,2018-2019,32.0,925.0,156.5,303.5,25.5,79.0,94.0,132.5,94.5,275.5,27.0,18.0,56.5,47.0,69.0,432.5,0.52,0.32,0.7,29.0,13.6,8.65,0.85,414
Tony Snell,2010-2012,34.67,861.0,103.67,246.0,55.0,144.67,55.0,67.0,13.67,83.67,71.0,17.67,12.0,51.33,40.67,317.33,0.41,0.37,0.8,24.77,9.13,2.4,2.03,165
Lamar Stevens,2016-2019,33.75,1087.75,200.25,460.25,21.5,78.0,129.75,175.75,50.0,218.75,65.5,26.75,31.75,81.0,86.75,551.75,0.43,0.29,0.74,32.22,16.42,6.5,1.98,320
Max Strus,2017-2018,33.0,1206.5,201.5,480.0,97.0,277.0,113.0,137.0,43.5,191.0,81.0,36.5,16.5,76.0,96.5,613.0,0.42,0.35,0.82,36.5,18.45,5.75,2.45,654
Jae'Sean Tate,2014-2017,32.25,902.75,153.5,278.25,9.0,32.5,62.0,111.75,56.75,192.75,54.0,34.0,16.0,58.5,95.5,378.0,0.55,0.26,0.55,28.12,11.77,6.0,1.67,865
Garrett Temple,2005-2008,33.5,0.0,73.25,197.25,28.25,101.5,50.5,64.5,0.0,125.5,120.5,47.75,28.25,35.0,0.0,225.25,0.37,0.28,0.77,0.0,6.8,3.75,3.62,300
Isaiah Thomas,2008-2010,35.0,734.67,184.67,433.67,54.67,168.33,149.67,210.0,15.33,122.0,138.33,40.67,2.33,93.0,47.33,573.67,0.43,0.32,0.71,21.0,16.4,3.47,3.97,145
Matt Thomas,2013-2016,34.5,877.5,98.5,230.75,63.5,158.5,32.0,39.25,12.75,107.75,45.25,23.0,5.25,28.5,52.75,292.5,0.41,0.39,0.79,25.25,8.43,3.1,1.3,161
Matisse Thybulle,2015-2018,33.75,990.75,110.25,256.75,47.75,133.5,42.25,54.0,29.75,103.75,69.0,82.75,46.25,63.0,95.25,310.5,0.43,0.36,0.78,29.35,9.25,3.08,2.02,348
Killian Tillie,2016-2019,27.0,547.0,96.25,175.5,26.5,59.75,36.75,49.0,32.0,124.25,37.0,22.0,19.25,28.25,62.5,255.75,0.53,0.45,0.73,19.9,9.22,4.5,1.42,118
Anthony Tolliver,2003-2006,31.0,665.5,88.5,180.25,5.25,15.75,68.75,102.5,0.0,150.75,33.75,19.25,34.0,0.0,0.0,251.0,0.46,0.41,0.55,20.98,7.9,4.78,1.05,0
Obi Toppin,2018-2019,32.0,927.0,223.0,344.5,21.5,51.5,80.5,114.0,43.5,210.0,64.0,25.5,33.0,65.5,60.5,548.0,0.65,0.46,0.71,29.05,17.2,6.55,2.0,508
Juan Toscano-Anderson,2013-2014,31.0,650.0,67.0,148.0,10.5,36.0,33.0,55.5,52.5,139.5,43.0,33.0,9.0,47.5,68.0,177.5,0.43,0.27,0.64,21.0,5.75,4.5,1.35,286
P.J. Tucker,2003-2005,29.0,839.33,146.0,277.33,0.67,1.33,97.0,136.33,0.0,238.0,56.67,38.67,7.67,0.0,0.0,389.67,0.53,0.22,0.7,28.8,13.4,8.1,1.97,526
Denzel Valentine,2012-2015,36.0,1045.5,144.75,327.25,66.25,162.5,55.5,71.25,39.25,213.75,159.75,33.0,10.0,79.25,75.75,411.25,0.44,0.38,0.76,29.1,11.68,5.98,4.58,69
Fred VanVleet,2012-2015,35.25,943.75,115.75,271.5,35.25,91.25,93.0,115.5,22.75,116.75,159.25,56.25,3.25,51.75,53.75,359.75,0.42,0.39,0.79,27.1,10.42,3.35,4.6,"1,248"
Devin Vassell,2018-2019,31.5,608.0,98.0,206.5,35.0,84.0,33.5,46.5,25.5,101.5,35.0,30.0,19.5,17.5,44.0,264.5,0.46,0.42,0.71,19.75,8.6,3.3,1.1,770
Gabe Vincent,2014-2017,28.25,839.75,124.0,303.25,60.75,161.5,51.5,67.0,14.0,75.25,71.25,29.0,4.5,38.5,76.25,360.25,0.41,0.38,0.76,29.83,12.85,2.72,2.5,559
Dean Wade,2015-2018,31.5,923.75,137.0,275.0,32.0,83.0,71.5,100.5,55.0,171.0,65.0,29.5,19.75,37.0,72.0,377.5,0.49,0.39,0.72,29.4,12.08,5.5,2.1,269
Moritz Wagner,2015-2017,35.67,748.0,140.33,256.67,36.67,95.33,54.0,77.33,42.67,161.33,19.0,27.67,13.33,42.0,89.67,371.33,0.57,0.32,0.66,20.03,9.87,4.3,0.47,488
Kemba Walker,2008-2010,37.0,913.33,192.67,450.0,42.0,129.0,167.0,213.33,28.33,164.33,153.33,61.67,9.33,86.0,38.33,594.33,0.43,0.31,0.77,24.27,15.67,4.4,4.17,431
Brad Wanamaker,2009-2010,34.0,1069.5,133.0,299.5,20.5,59.0,121.5,164.5,51.5,185.5,167.0,45.0,11.0,84.5,85.0,408.0,0.44,0.34,0.74,31.45,12.0,5.45,4.9,83
T.J. Warren,2012-2013,35.0,1091.0,264.0,475.5,22.5,71.5,97.5,149.0,93.5,198.0,34.0,52.5,18.0,58.5,87.0,648.0,0.57,0.39,0.62,31.2,18.5,5.65,0.95,0
P.J. Washington,2017-2018,36.0,1018.0,162.5,312.0,19.0,49.5,122.0,193.0,74.0,237.5,60.0,28.5,37.0,70.0,93.0,466.0,0.52,0.33,0.63,28.35,13.0,6.6,1.65,604
Yuta Watanabe,2014-2017,33.5,1006.75,127.25,299.25,39.0,115.75,71.5,90.75,36.75,152.25,49.25,23.25,36.75,42.5,60.0,365.0,0.42,0.33,0.79,30.48,11.08,4.6,1.52,156
Tremont Waters,2017-2018,33.0,1079.5,170.0,401.5,64.0,188.0,110.5,137.0,10.0,101.5,195.0,81.5,3.5,105.0,69.0,514.5,0.42,0.34,0.81,32.7,15.6,3.1,5.9,10
Quinndary Weatherspoon,2015-2018,32.75,1020.25,176.5,367.75,46.75,127.0,103.25,131.0,47.0,168.75,78.75,50.25,11.5,76.75,75.25,503.0,0.48,0.37,0.79,31.08,15.35,5.12,2.33,30
Grant Williams,2016-2018,34.67,1001.0,183.0,354.67,10.0,34.33,167.0,220.33,85.67,226.0,73.0,29.67,53.33,73.0,110.33,543.0,0.51,0.27,0.75,28.7,15.53,6.47,2.07,557
Kenrich Williams,2014-2017,34.0,1093.67,138.67,286.67,33.67,89.67,64.0,102.33,101.33,292.33,90.33,47.0,23.67,48.33,84.33,375.0,0.48,0.37,0.63,32.17,11.07,8.57,2.67,363
D.J. Wilson,2014-2016,23.0,445.67,64.0,122.0,16.33,45.0,19.33,23.67,20.67,75.67,19.33,8.33,23.33,17.33,32.33,163.67,0.42,0.24,0.52,13.77,4.7,2.4,0.53,30
Dylan Windler,2015-2018,32.0,939.75,148.25,274.0,54.25,133.5,71.0,93.25,52.25,249.75,62.75,32.0,24.5,52.5,76.5,421.75,0.53,0.37,0.74,29.28,13.02,7.72,1.92,103
Cassius Winston,2016-2019,34.75,999.25,162.0,351.25,64.75,150.5,103.5,122.5,8.0,93.5,222.5,31.25,3.0,93.5,68.75,492.25,0.46,0.43,0.84,28.75,14.18,2.68,6.38,10
Christian Wood,2013-2014,31.5,734.0,117.5,246.5,18.0,69.0,74.0,99.0,60.0,213.0,26.5,10.5,59.5,47.5,66.0,327.0,0.45,0.25,0.77,22.85,10.1,6.6,0.8,"1,218"
Robert Woodard II,2018-2019,32.5,810.5,104.5,215.5,21.0,57.0,39.5,64.0,57.5,171.0,32.5,26.5,24.5,40.0,48.0,269.5,0.48,0.35,0.61,25.3,8.45,5.3,1.0,7
Delon Wright,2013-2014,34.0,1183.5,169.5,317.0,19.0,63.5,153.0,188.0,38.0,198.5,176.0,77.5,38.5,76.0,55.0,511.0,0.54,0.29,0.81,34.85,15.0,5.85,5.2,317
Cody Zeller,2011-2012,36.0,1043.5,199.5,337.0,0.0,1.0,179.5,237.5,94.0,262.5,46.0,43.0,43.5,70.5,88.5,578.5,0.59,0.0,0.76,29.0,16.05,7.3,1.3,140
